b2:1a:a9:be:6e:4d|116.310789|40.089970|85|193.907152|0.288030
b2:1a:a9:be:6e:4d|116.310789|40.089970|85|193.907152|0.000000
80:f6:2e:a3:fa:30|116.310824|40.089993|29|193.835189|0.000042
80:f6:2e:a5:3d:70|116.310749|40.089955|86|193.830691|0.000043
66:14:4b:54:3f:b8|116.310726|40.089962|55|193.683868|0.000024
66:14:4b:54:3f:b8|116.310725|40.089961|55|193.681093|0.000001
80:f6:2e:a3:fa:d0|116.310714|40.089937|25|193.678963|0.000026
80:f6:2e:a5:52:10|116.310739|40.089999|274|193.600866|0.000039
80:f6:2e:a3:fa:70|116.310758|40.090022|93|193.565145|0.000030
80:f6:2e:a5:4d:30|116.310854|40.090040|44|193.533490|0.000056
80:f6:2e:a4:d2:10|116.310857|40.090050|52|193.459642|0.000010
80:f6:2e:a3:fa:b0|116.310696|40.089976|25|193.409677|0.000033
62:1a:a9:be:69:b8|116.310693|40.090000|102|193.268341|0.000024
62:1a:a9:be:69:b8|116.310692|40.089999|102|193.264889|0.000001
9c:21:6a:a3:51:2a|116.310924|40.090027|44|193.254448|0.000071
80:f6:2e:a5:51:30|116.310658|40.089969|31|193.068437|0.000039
d2:1a:a9:be:6f:af|116.310663|40.090021|154|192.848910|0.000036
d2:1a:a9:be:6f:af|116.310660|40.090022|154|192.809238|0.000003
d2:1a:a9:c2:d8:8f|116.310922|40.090132|80|192.451377|0.000105
d2:1a:a9:c2:d8:8f|116.310924|40.090132|80|192.437275|0.000002
08:57:00:7b:80:b4|116.311016|40.090032|57|192.230143|0.000092
b2:1a:a9:be:5a:3d|116.310924|40.090157|25|192.172671|0.000025
b2:1a:a9:be:5a:3d|116.310927|40.090158|25|192.140197|0.000003
c2:1a:a9:be:4d:fe|116.310956|40.090149|40|191.998573|0.000030
92:1a:a9:be:3e:cb|116.310952|40.090172|28|191.779182|0.000023
80:f6:2e:a3:d5:50|116.311012|40.090111|56|191.731465|0.000068
92:1a:a9:be:3e:cb|116.310955|40.090177|28|191.693602|0.000006
82:1a:a9:c2:d4:ba|116.310978|40.090162|49|191.636461|0.000026
72:1a:a9:be:31:f9|116.310972|40.090173|34|191.575224|0.000013
82:1a:a9:c2:d4:ba|116.310980|40.090170|49|191.524853|0.000008
72:1a:a9:be:31:f9|116.310978|40.090173|34|191.512067|0.000004
e4:d3:32:eb:16:18|116.310718|40.090206|73|191.480191|0.000188
80:89:17:4c:aa:5a|116.310783|40.090285|28|190.638197|0.000102
72:1a:a9:c2:d6:d9|116.310899|40.089514|26|190.113158|0.000462
72:1a:a9:c2:d6:d9|116.310901|40.089511|26|190.039404|0.000004
02:1a:a9:be:6e:02|116.311069|40.089587|27|188.949683|0.000184
02:1a:a9:be:6e:02|116.311069|40.089587|27|188.949683|0.000000
80:f6:2e:a5:ea:50|116.310675|40.090376|97|188.179425|0.000141
42:1a:a9:be:71:26|116.311233|40.090085|27|187.300615|0.000223
f2:1a:a9:be:6f:e1|116.310742|40.090455|58|187.098846|0.000104
80:f6:2e:a3:c1:70|116.310362|40.089895|50|187.082778|0.000305
e4:d3:32:e2:26:32|116.311117|40.090336|25|187.048862|0.000214
92:1a:a9:be:70:1b|116.311236|40.090111|51|187.032471|0.000026
f2:1a:a9:be:6f:e1|116.310741|40.090460|58|186.980120|0.000005
42:1a:a9:be:71:26|116.311245|40.090089|27|186.930726|0.000013
92:1a:a9:be:70:1b|116.311246|40.090107|51|186.775937|0.000011
a2:1a:a9:be:6d:0c|116.311245|40.090120|39|186.705257|0.000013
a2:1a:a9:be:4f:0c|116.311252|40.090127|45|186.445448|0.000010
a2:1a:a9:be:6d:0c|116.311258|40.090126|39|186.277031|0.000006
a2:1a:a9:be:4f:0c|116.311264|40.090131|45|186.057177|0.000008
42:1a:a9:be:34:c6|116.310315|40.089938|31|185.422607|0.000064
42:1a:a9:be:34:c6|116.310313|40.089937|31|185.359517|0.000002
80:f6:2e:a5:dc:d0|116.311294|40.090112|77|185.277492|0.000036
14:75:90:24:bc:aa|116.310781|40.090544|32|185.206314|0.000093
80:f6:2e:a5:e4:10|116.311298|40.090146|29|184.876266|0.000034
80:f6:2e:a5:dd:90|116.311330|40.090036|30|184.505632|0.000084
e4:d3:32:eb:30:80|116.311328|40.090154|27|183.820359|0.000031
a2:1a:a9:be:58:6c|116.310287|40.089599|76|183.597105|0.000305
a2:1a:a9:be:58:6c|116.310286|40.089602|76|183.593256|0.000003
72:1a:a9:be:4d:29|116.311118|40.090514|151|183.419392|0.000178
80:f6:2e:a5:e3:70|116.311350|40.090115|70|183.375112|0.000045
72:1a:a9:be:4d:29|116.311130|40.090517|151|183.121553|0.000012
e4:d3:32:eb:29:34|116.310695|40.090611|58|182.900502|0.000109
c2:1a:a9:be:6c:2e|116.310815|40.090655|31|182.409570|0.000116
12:1a:a9:be:34:93|116.311105|40.090569|28|182.341263|0.000057
c2:1a:a9:be:6c:2e|116.310819|40.090658|31|182.333959|0.000005
02:1a:a9:bd:76:62|116.310843|40.090667|66|182.102666|0.000026
02:1a:a9:bd:76:62|116.310846|40.090667|66|182.101923|0.000003
e2:1a:a9:be:3f:f0|116.310228|40.089979|26|182.033015|0.000095
12:1a:a9:be:34:93|116.311113|40.090576|28|182.025376|0.000011
80:f6:2e:a7:19:30|116.311077|40.089291|34|181.983550|0.000282
c8:e7:d8:3f:c1:2e|116.311374|40.090184|50|181.929806|0.000055
e2:1a:a9:be:3f:f0|116.310222|40.089979|26|181.798082|0.000006
04:5f:a7:16:86:34|116.311405|40.090070|32|181.614041|0.000071
80:f6:2e:a4:53:b0|116.311224|40.090536|51|180.582939|0.000096
06:14:4b:65:65:f2|116.427645|39.991612|65|180.402828|0.152083
80:f6:2e:a3:eb:f0|116.311237|40.090530|58|180.388735|0.000014
42:1a:a9:be:37:96|116.311195|40.090574|134|180.380459|0.000048
06:69:6c:0b:13:52|116.427676|39.991620|63|180.243256|0.000032
80:f6:2e:a7:18:f0|116.311159|40.089299|40|180.236834|0.000082
42:1a:a9:be:37:96|116.311204|40.090572|134|180.217738|0.000009
80:f6:2e:a4:56:10|116.311191|40.090587|33|180.153383|0.000014
80:f6:2e:a4:57:f0|116.311240|40.090537|50|180.149306|0.000008
32:1a:a9:be:37:45|116.310219|40.089486|55|179.910136|0.000132
32:1a:a9:be:37:45|116.310219|40.089484|55|179.882158|0.000002
06:69:6c:0b:ba:8a|116.427577|39.991640|72|179.877387|0.000074
06:14:4b:71:95:8f|116.427751|39.991617|35|179.875144|0.000075
06:14:4b:71:94:24|116.427695|39.991642|62|179.864715|0.000029
80:f6:2e:a8:cc:f0|116.311108|40.089241|56|179.745333|0.000059
26:14:4b:5d:20:a3|116.427678|39.991660|44|179.636488|0.000025
06:14:4b:71:97:23|116.427484|39.991611|225|179.617113|0.000097
06:14:4b:71:97:33|116.427464|39.991611|49|179.392771|0.000020
06:14:4b:71:a1:ab|116.427807|39.991616|256|179.324958|0.000056
06:14:4b:78:82:6f|116.427426|39.991595|71|179.110161|0.000041
06:14:4b:71:95:67|116.427870|39.991374|38|179.028356|0.000250
06:14:4b:71:a1:ac|116.427846|39.991607|36|178.908828|0.000040
06:14:4b:71:94:5b|116.427880|39.991378|67|178.873450|0.000011
06:14:4b:71:96:b0|116.427856|39.991609|32|178.734696|0.000010
06:69:6c:0c:a0:92|116.427677|39.991712|56|178.673979|0.000052
06:14:4b:71:97:ab|116.427862|39.991620|115|178.510424|0.000013
06:14:4b:71:96:af|116.427876|39.991614|260|178.353878|0.000015
06:54:b2:65:e8:2d|116.427931|39.991492|111|178.130432|0.000125
06:14:4b:71:9d:47|116.427875|39.991279|74|177.924734|0.000095
06:14:4b:71:9b:ff|116.427955|39.991474|71|177.616019|0.000030
14:75:90:3b:ac:d0|116.311270|40.090609|50|177.615915|0.000076
06:14:4b:71:94:23|116.427723|39.991764|240|177.340778|0.000069
06:69:6c:0b:9e:12|116.427880|39.991682|30|177.314527|0.000065
06:14:4b:66:61:2d|116.427977|39.991431|101|177.028009|0.000048
06:69:6c:0b:bb:3e|116.427768|39.991765|91|177.014347|0.000045
06:14:4b:71:98:3f|116.427941|39.991623|128|177.011122|0.000066
06:14:4b:66:61:2c|116.427978|39.991552|589|176.816151|0.000076
62:1a:a9:c2:f6:48|116.311131|40.089166|31|176.680735|0.000078
62:1a:a9:c2:f6:48|116.311133|40.089166|31|176.629988|0.000002
06:14:4b:71:94:5c|116.427833|39.991162|35|176.483322|0.000124
06:69:6c:0b:ba:da|116.427785|39.991787|101|176.321969|0.000028
06:14:4b:71:96:9b|116.427988|39.991596|269|176.225438|0.000045
06:14:4b:71:99:1b|116.427774|39.991102|41|175.845075|0.000084
06:69:6c:0c:a1:26|116.427614|39.991837|76|175.484576|0.000131
06:14:4b:71:96:c3|116.427240|39.991611|27|175.065980|0.000187
06:69:6c:0b:13:f6|116.428027|39.991621|130|174.961419|0.000046
06:69:6c:0b:14:22|116.428018|39.991662|48|174.676667|0.000042
d2:1a:a9:c0:49:3f|116.311135|40.089109|50|174.528901|0.000057
