d0:2d:b3:dc:9f:e7|116.614782|40.055648|389|1151.236015|0.404634|0
84:5d:d7:01:9a:f0|116.614783|40.055655|5|1151.195654|0.000007|0
90:4e:2b:f5:82:a1|116.614763|40.055629|331|1151.100478|0.000027|0
ea:64:c7:23:57:a2|116.614774|40.055605|300|1150.918332|0.000026|2
ea:64:c7:23:57:a2|116.614774|40.055605|300|1150.918332|0.000000|3
84:5d:d7:01:9a:12|116.614769|40.055607|13|1150.917931|0.000005|3
b0:75:d5:8e:a0:e3|116.614766|40.055675|140|1150.845328|0.000026|1
d2:75:d5:8e:9e:a9|116.614747|40.055618|148|1150.757792|0.000019|2
d0:2d:b3:dc:9f:e7|116.614804|40.055681|389|1150.728049|0.000033|1
0a:27:22:67:64:42|116.614735|40.055648|45|1150.576712|0.000032|7
c4:05:28:45:36:75|116.614834|40.055662|374|1150.484167|0.000036|8
c4:05:28:45:36:75|116.614834|40.055662|374|1150.484167|0.000000|10
90:4e:2b:0f:f6:e1|116.614823|40.055600|298|1150.455619|0.000049|3
84:5d:d7:01:9a:12|116.614750|40.055586|13|1150.205679|0.000028|5
90:4e:2b:56:52:54|116.614812|40.055579|665|1150.111369|0.000024|12
90:4e:2b:56:52:54|116.614812|40.055579|665|1150.111369|0.000000|14
d0:2d:b3:dc:9f:33|116.614788|40.055707|486|1150.109399|0.000031|8
d0:2d:b3:dc:9f:33|116.614788|40.055707|486|1150.109399|0.000000|16
14:e6:e4:d2:c4:3a|116.614786|40.055569|42|1149.981328|0.000028|14
90:4e:2b:0f:fb:c8|116.614710|40.055626|416|1149.720920|0.000033|9
90:4e:2b:0f:f9:fc|116.614860|40.055650|337|1149.716122|0.000029|10
d2:75:d5:8e:9b:85|116.614837|40.055697|111|1149.705204|0.000035|10
90:4e:2b:56:4f:39|116.614737|40.055576|326|1149.626019|0.000016|13
90:4e:2b:56:4f:39|116.614737|40.055576|326|1149.626019|0.000000|22
d2:75:d5:8e:89:dd|116.614707|40.055627|29|1149.605576|0.000003|19
ac:e2:15:37:63:33|116.614734|40.055576|103|1149.548057|0.000003|22
d2:75:d5:8e:a0:e3|116.614853|40.055691|185|1149.355912|0.000017|21
84:5d:d7:01:9b:6d|116.614756|40.055557|33|1149.303495|0.000027|22
90:4e:2b:f5:91:6f|116.614699|40.055646|65|1149.282835|0.000021|24
90:4e:2b:f5:91:6f|116.614699|40.055646|65|1149.282835|0.000000|28
b0:75:d5:8e:a0:e3|116.614711|40.055592|140|1149.239349|0.000028|25
70:72:3c:bf:c9:84|116.614726|40.055573|367|1149.218054|0.000009|25
70:72:3c:bf:c9:84|116.614726|40.055573|367|1149.218054|0.000000|31
90:4e:2b:f5:82:a1|116.614724|40.055704|331|1149.214018|0.000051|6
84:5d:d7:01:9b:92|116.614869|40.055672|42|1149.102442|0.000024|20
90:4e:2b:56:51:9b|116.614711|40.055693|296|1149.074157|0.000017|33
84:5d:d7:01:9b:92|116.614846|40.055569|42|1148.964169|0.000035|14
00:27:1d:0a:a6:3e|116.614809|40.055732|66|1148.953994|0.000033|16
58:93:96:96:d9:5c|116.614878|40.055642|8|1148.929195|0.000020|20
f2:15:4a:1f:84:0e|116.614836|40.055560|117|1148.921277|0.000013|36
d0:2d:b3:2b:23:d5|116.614878|40.055626|342|1148.877466|0.000016|38
90:4e:2b:f5:86:07|116.614732|40.055722|243|1148.788900|0.000020|33
90:4e:2b:f5:8e:36|116.614882|40.055640|540|1148.726356|0.000004|38
90:4e:2b:f5:80:8f|116.614882|40.055637|419|1148.723470|0.000003|42
90:4e:2b:f5:80:8f|116.614882|40.055637|419|1148.723470|0.000000|43
ac:e2:15:37:59:b5|116.614878|40.055669|200|1148.722375|0.000009|34
ac:e2:15:37:59:b5|116.614878|40.055669|200|1148.722375|0.000000|45
d0:2d:b3:2b:22:b8|116.614865|40.055697|159|1148.718640|0.000013|26
90:4e:2b:0f:fb:c8|116.614694|40.055602|416|1148.711169|0.000020|30
58:93:96:d6:d9:5c|116.614885|40.055634|17|1148.557790|0.000004|43
14:75:90:77:61:42|116.614736|40.055547|2|1148.453864|0.000022|27
c4:05:28:45:36:2f|116.614774|40.055535|523|1148.440045|0.000028|27
c4:05:28:45:36:57|116.614875|40.055691|381|1148.427782|0.000012|47
9c:21:6a:cf:e3:e0|116.614698|40.055582|14|1148.422133|0.000016|30
58:93:96:16:d9:5c|116.614889|40.055630|110|1148.322277|0.000006|49
90:4e:2b:f5:91:d8|116.614770|40.055530|401|1148.142572|0.000006|51
90:4e:2b:f5:91:d8|116.614770|40.055530|401|1148.142572|0.000000|55
d0:2d:b3:dc:a1:f9|116.614854|40.055726|370|1148.111478|0.000031|47
90:4e:2b:f5:96:60|116.614740|40.055535|192|1147.952484|0.000013|50
90:4e:2b:f5:96:60|116.614740|40.055535|192|1147.952484|0.000000|58
90:4e:2b:0f:f6:e1|116.614880|40.055579|298|1147.873563|0.000035|36
84:db:ac:0b:99:a4|116.614810|40.055527|4|1147.843304|0.000037|51
90:4e:2b:f5:8e:81|116.614765|40.055755|92|1147.789962|0.000047|41
e8:08:8b:b3:9e:f1|116.614865|40.055729|184|1147.543159|0.000011|57
48:46:fb:e0:a0:e0|116.614811|40.055522|23|1147.536087|0.000005|61
10:51:72:4c:04:60|116.614872|40.055722|4|1147.533007|0.000010|63
e8:08:8b:b3:9f:c8|116.614779|40.055763|155|1147.409340|0.000016|62
e8:08:8b:b3:9f:c8|116.614779|40.055763|155|1147.409340|0.000000|66
90:4e:2b:f5:80:c1|116.614749|40.055522|571|1147.409132|0.000016|58
90:4e:2b:f5:80:c1|116.614749|40.055522|571|1147.409132|0.000000|68
d2:75:d5:8e:9e:a9|116.614699|40.055550|148|1147.282242|0.000032|53
ac:e2:15:37:65:cc|116.614855|40.055538|416|1147.281312|0.000029|39
90:4e:2b:0f:fe:70|116.614683|40.055709|526|1147.259140|0.000032|35
90:4e:2b:f5:8d:d7|116.614711|40.055537|294|1147.156000|0.000018|70
00:27:1d:06:ba:5f|116.614671|40.055588|3|1147.152296|0.000027|48
84:5d:d7:01:9a:90|116.614910|40.055646|21|1147.056658|0.000026|54
84:5d:d7:01:9a:90|116.614910|40.055646|21|1147.056658|0.000000|75
d0:2d:b3:dc:a1:77|116.614737|40.055761|426|1146.917820|0.000029|62
90:4e:2b:0f:fa:3d|116.614659|40.055668|364|1146.827418|0.000046|28
90:4e:2b:56:57:59|116.614771|40.055508|7|1146.802458|0.000022|55
ea:64:c7:23:56:b3|116.614808|40.055509|62|1146.755999|0.000013|64
90:4e:2b:f5:84:4a|116.614878|40.055547|245|1146.718568|0.000025|71
90:4e:2b:0f:f8:7b|116.614658|40.055605|438|1146.687444|0.000021|74
c4:05:28:45:36:39|116.614741|40.055512|591|1146.623002|0.000013|68
c4:05:28:45:36:39|116.614741|40.055512|591|1146.623002|0.000000|83
e8:08:8b:b3:9e:bf|116.614908|40.055592|555|1146.600252|0.000031|60
e8:08:8b:b3:9f:28|116.614920|40.055630|178|1146.341511|0.000019|75
e8:08:8b:b3:9f:28|116.614920|40.055630|178|1146.341511|0.000000|86
90:4e:2b:0f:fc:4f|116.614748|40.055774|766|1146.332500|0.000017|77
90:4e:2b:0f:fc:4f|116.614748|40.055774|766|1146.332500|0.000000|88
c4:05:28:45:3b:b6|116.614740|40.055773|433|1146.222879|0.000008|88
c4:05:28:45:3b:b6|116.614740|40.055773|433|1146.222879|0.000000|90
90:4e:2b:f5:8d:d7|116.614852|40.055514|294|1146.001500|0.000024|71
90:4e:2b:f5:89:b3|116.614659|40.055569|285|1145.812310|0.000022|74
90:4e:2b:10:03:cf|116.614695|40.055760|341|1145.424717|0.000042|77
90:4e:2b:10:03:cf|116.614695|40.055760|341|1145.424717|0.000000|94
f8:e9:03:b6:37:e2|116.614740|40.055787|2|1145.234102|0.000014|90
